@bakpawijo jd bagussss,bakpawijo jd bagussss,positif,Kawah Putih
@lilyagatha_ mau kesiniii woiii tunggu bulan depan bikin SIM dulu,lilyagatha_ mau kesiniii woiii tunggu bulan depan bikin sim dulu,netral,Ranca Upas
@qyie0 anjay udh lebih bagus wkwk pas kesana blm ada jembatan woe,qyie anjay udh lebih bagus wkwk pas kesana blm ada jembatan woe,positif,Gunung Puntang
@🌟MR GUN&ROSES_STARBOSS 🌟 Bagus,mr gunroses_starboss bagus,positif,Glamping Lakeside
ayo kesini @awan_z40s,ayo kesini awan_zs,netral,Situ Patenggang
@roronoa_60 pengen kesini:(,roronoa_ pengen kesini,netral,Gunung Puntang
@koerniasanti suka Gak,koerniasanti suka gak,positif,Kawah Putih
"@Mutiara JauharohF kesini, tp jauh",mutiara jauharohf kesini tp jauh,netral,Ranca Upas
@anestamiadea bagus yakann,anestamiadea bagus yakann,positif,Gunung Puntang
@apin.14 mau kesini🥺,apin mau kesini,netral,Kawah Putih
@Gilang Ramadhan pengen kesini,gilang ramadhan pengen kesini,netral,Glamping Lakeside
@spookpratama aaaaa indah bgt🥺,spookpratama aaaaa indah bgt,positif,Kawah Putih
@sukaaaaaaaa.kamuuuuu @jszkyw4lker bgs bgt tp jauh,sukaaaaaaaakamuuuuu jszkywlker bgs bgt tp jauh,positif,Gunung Puntang
@konomusic0 ini bagusss,konomusic ini bagusss,positif,Kawah Putih
Bismillah ayang kesini ya @taras vu,bismillah ayang kesini ya taras vu,netral,Ranca Upas
@Punyabelaa pappppp bagus,punyabelaa pappppp bagus,positif,Gunung Puntang
serem takut tali nya putus,serem takut tali nya putus,netral,Glamping Lakeside
@Soto babat18 kdieu gn enakeun nya teh🥺,soto babat kdieu gn enakeun nya teh,positif,Kawah Putih
"udh bagus bgt tempat nya, 5 thn yg lalu ksitu 😂",udh bagus bgt tempat nya thn yg lalu ksitu,positif,Glamping Lakeside
perasaan waktu itu ngga sebagus sekarang ini l,perasaan waktu itu ngga sebagus sekarang ini l,positif,Gunung Puntang
jalan nya jelek. byr nya mahal.. trs pas smpe lokasi panas ny minta ampun😁,jalan nya jelek byr nya mahal trs pas smpe lokasi panas ny minta ampun,negatif,Glamping Lakeside
kalau jam 10 siang masih bagus ga yak,kalau jam siang masih bagus ga yak,positif,Situ Patenggang
takut jembatan nyaa roboh takut bgtt 😭,takut jembatan nyaa roboh takut bgtt,netral,Ranca Upas
@irapramesti0 kesini mir,irapramesti kesini mir,netral,Ranca Upas
"suka mikir, bikin jalan nya itu gmn?",suka mikir bikin jalan nya itu gmn,positif,Ranca Upas
"makin bagus makin mahal anjrtt, kmrn mau kesana gajadi karna mahal 😭",makin bagus makin mahal anjrtt kmrn mau kesana gajadi karna mahal,netral,Gunung Puntang
bagusnyaaa,bagusnyaaa,positif,Glamping Lakeside
ajak aku kesini bestieee @azztnnisa04 @user34556677884,ajak aku kesini bestieee azztnnisa user,positif,Gunung Puntang
semakin bagus yal sekarang kawah putih dulu waktu kesana belum ada jembatan kaya gitu,semakin bagus yal sekarang kawah putih dulu waktu kesana belum ada jembatan kaya gitu,positif,Kawah Putih
pengen bgt kesini 🥺,pengen bgt kesini,netral,Ranca Upas
"keren ya sekarang udah ada jembatannya, dulu mah belum ada",keren ya sekarang udah ada jembatannya dulu mah belum ada,positif,Gunung Puntang
Ihh makin keren @heyhohohl54 🥺,ihh makin keren heyhohohl,positif,Gunung Puntang
Serem banget kalo tibatiba roboh jembatannya 🥺,serem banget kalo tibatiba roboh jembatannya,netral,Glamping Lakeside
pii kesini yuk @ekoapiantosilegar,pii kesini yuk ekoapiantosilegar,netral,Ranca Upas
@madityawarman5 baguss piii,madityawarman baguss piii,positif,Kawah Putih
skrg jd bagusss yukk yangg @All,skrg jd bagusss yukk yangg all,positif,Kawah Putih
pen kesini,pen kesini,netral,Situ Patenggang
SUMPAH INI UDAH BAGUS??? TAHUN BERAPA YA 2012 GUE KESANA BELUM SEBAGUS INI🥰🥰🥺,sumpah ini udah bagus tahun berapa ya gue kesana belum sebagus ini,positif,Ranca Upas
@ame611 kesini kuy,ame kesini kuy,netral,Gunung Puntang
lama gak kesiniii🥺,lama gak kesiniii,netral,Ranca Upas
bandung juga keren cok,bandung juga keren cok,positif,Gunung Puntang
"@ikakartikaa34 dlu mh ga kek gtu,, skrang ada airnya tambah indah",ikakartikaa dlu mh ga kek gtu skrang ada airnya tambah indah,positif,Gunung Puntang
Waktu kesana gk sebagus itu🥺,waktu kesana gk sebagus itu,positif,Situ Patenggang
@khakayans mau kesini,khakayans mau kesini,netral,Situ Patenggang
jauh2 gue kesini gk dapet Poto satu pun😅mlh ada hjn es berikut angin takut gue auto balik mobil,jauh gue kesini gk dapet poto satu punmlh ada hjn es berikut angin takut gue auto balik mobil,netral,Ranca Upas
@Siti Hamidah kesini th,siti hamidah kesini th,netral,Situ Patenggang
waaah udh sekeren iniiiiii🥰🥰🥰🥰🥰,waaah udh sekeren iniiiiii,positif,Gunung Puntang
@dehhtohh23 @taexstrww seru ga sih,dehhtohh taexstrww seru ga sih,positif,Gunung Puntang
bagusss,bagusss,positif,Situ Patenggang
@iamoni21 kapan kesini nih pa 😅🤤,iamoni kapan kesini nih pa,netral,Situ Patenggang
Cantik bgt tempatnya,cantik bgt tempatnya,netral,Situ Patenggang
ko aku takut😂,ko aku takut,netral,Situ Patenggang
indah,indah,positif,Gunung Puntang
@ollasukaindomie hyu besti,ollasukaindomie hyu besti,positif,Glamping Lakeside
makin baguss yaa😍,makin baguss yaa,positif,Kawah Putih
@Mohamad Ridwansyah ini bagus tau,mohamad ridwansyah ini bagus tau,positif,Gunung Puntang
Bagus bangett,bagus bangett,positif,Glamping Lakeside
kesini 2019 belom begini 😳,kesini belom begini,netral,Ranca Upas
jadi bagus kawah putih sekarang jdi pengen ke sana,jadi bagus kawah putih sekarang jdi pengen ke sana,positif,Kawah Putih
"Dulu kesitu masih belum ada jalannya... skrg sudah ada jalannya, aargggh bagus banget",dulu kesitu masih belum ada jalannya skrg sudah ada jalannya aargggh bagus banget,positif,Situ Patenggang
dulu kesini blm ada jembatan🥺,dulu kesini blm ada jembatan,netral,Gunung Puntang
bagus bnget,bagus bnget,positif,Ranca Upas
indahnya🥰,indahnya,positif,Gunung Puntang
@botolkecap🦁 mau kesini siii,botolkecap mau kesini siii,netral,Glamping Lakeside
@andrean_nugraha 🥺bagus,andrean_nugraha bagus,positif,Situ Patenggang
@siimaygaksii bagus bat ya,siimaygaksii bagus bat ya,positif,Glamping Lakeside
makin bagus aja skrng😳,makin bagus aja skrng,positif,Kawah Putih
dulu gak sebagus ini perasaan🥺,dulu gak sebagus ini perasaan,positif,Gunung Puntang
Wah udh bagus ya,wah udh bagus ya,positif,Situ Patenggang
@dianhndynnnn ayoo ih ke kawah putih udh bagus,dianhndynnnn ayoo ih ke kawah putih udh bagus,positif,Kawah Putih
jd bagus 😍😍😍,jd bagus,positif,Gunung Puntang
dh bagus skrg yak @reinaldiyulianpra,dh bagus skrg yak reinaldiyulianpra,positif,Gunung Puntang
Pengen kesini,pengen kesini,netral,Glamping Lakeside
bismillah semoga bisa kesini pgn healing ajasih😂,bismillah semoga bisa kesini pgn healing ajasih,positif,Kawah Putih
@user3090936916017 bagus ni,user bagus ni,positif,Kawah Putih
"bgus bgt ni pemandangan nya udah 2x kesana makin bagus aja .cuma gak bisa lama"" kalo udah deket",bgus bgt ni pemandangan nya udah x kesana makin bagus aja cuma gak bisa lama kalo udah deket,positif,Kawah Putih
ko pas kita kesini ga kaya gini 😭 @mecloudysyxx @hae.jek,ko pas kita kesini ga kaya gini mecloudysyxx haejek,netral,Glamping Lakeside
indah sekali🥰,indah sekali,positif,Glamping Lakeside
Demi apapun aku orang bandung baru kesini 2X dan itupun waktu aku masih kecil wkwkwkwkwkw,demi apapun aku orang bandung baru kesini x dan itupun waktu aku masih kecil wkwkwkwkwkw,positif,Gunung Puntang
wah sekarang ada jematannya. akses jalan ke kawah nya masih jelek ga jalan nya?,wah sekarang ada jematannya akses jalan ke kawah nya masih jelek ga jalan nya,netral,Kawah Putih
"indah nian,..🥰",indah nian,positif,Ranca Upas
bagus bgttttt,bagus bgttttt,positif,Kawah Putih
"tiket masuk mbl nya mahal,jalan nya rusak tapi pas udh nyampe terbayar sama pemandangan kawah yg keren bgt,+dingin""udaranya 🥶",tiket masuk mbl nya mahaljalan nya rusak tapi pas udh nyampe terbayar sama pemandangan kawah yg keren bgtdinginudaranya,negatif,Glamping Lakeside
@empeb_ mau kesini,empeb_ mau kesini,netral,Kawah Putih
baru pas lebaran kesini ruame bgt mana ujan gasempet photo banyak😌,baru pas lebaran kesini ruame bgt mana ujan gasempet photo banyak,netral,Kawah Putih
mau kesini @berryyycheese @vrggirl26,mau kesini berryyycheese vrggirl,netral,Ranca Upas
@rohmen_99 bagus bgt,rohmen_ bagus bgt,positif,Situ Patenggang
@pusing lur besok kita kesini ya,pusing lur besok kita kesini ya,netral,Ranca Upas
aa kangen ciwidey,aa kangen ciwidey,netral,Kawah Putih
@ohajjkk pengen kesini,ohajjkk pengen kesini,netral,Kawah Putih
kalo jembatannya roboh gimana ya🥺 takut banget,kalo jembatannya roboh gimana ya takut banget,netral,Situ Patenggang
maa syaa allah cantik banget tempatnya,maa syaa allah cantik banget tempatnya,netral,Situ Patenggang
@mawwarmelati_ uhuyyyy gk kangen bdg apahhh,mawwarmelati_ uhuyyyy gk kangen bdg apahhh,netral,Ranca Upas
ih ko tambah bagus siiiii:(,ih ko tambah bagus siiiii,positif,Glamping Lakeside
Dulu blm sebagus ini🥺,dulu blm sebagus ini,positif,Gunung Puntang
jdi pngen nyemplung tapi takut😳😂,jdi pngen nyemplung tapi takut,netral,Kawah Putih
@jasukentang @_sitirhni @onedaem @inkalatifah14 aaaaaaa bagus bgtttt,jasukentang _sitirhni onedaem inkalatifah aaaaaaa bagus bgtttt,positif,Glamping Lakeside
ayok ke Ciwidey banyak wisata yg bagus² dan banyak yg baru🥰,ayok ke ciwidey banyak wisata yg bagus² dan banyak yg baru,positif,Glamping Lakeside
@danihrmwn5 ayo kesini dan,danihrmwn ayo kesini dan,netral,Glamping Lakeside
"@sxltedcarameeell @windafitriana01
Kapan bisa kesini 😁",sxltedcarameeell windafitriana kapan bisa kesini,netral,Situ Patenggang
skrng ciwidey udh bagus aku dulu 2007 masih biasa aja skrng👍😅,skrng ciwidey udh bagus aku dulu masih biasa aja skrng,positif,Gunung Puntang
indah bgt kk,indah bgt kk,positif,Situ Patenggang
bagus banget skr..🥰,bagus banget skr,positif,Glamping Lakeside
cantiknyaa😍,cantiknyaa,netral,Situ Patenggang
"KALO PADA KESINI JANGAN LUPA SAMPAH DIJAGA , OKE?!!",kalo pada kesini jangan lupa sampah dijaga oke,negatif,Glamping Lakeside
@istrimu2000 kesiniii ya 😁,istrimu kesiniii ya,netral,Kawah Putih
keren banget🥰,keren banget,positif,Gunung Puntang
bagussss,bagussss,positif,Glamping Lakeside
@Putri Nur Intan @♉ baguss,putri nur intan baguss,positif,Kawah Putih
pgn kesini @the2112project,pgn kesini theproject,netral,Gunung Puntang
"Aaah tempat ini bnr2 bnyk kenangan jd kangen seseorang yg udh di panggil allah beberapa minggu kemarin,jd nangis lg kan😭😭",aaah tempat ini bnr bnyk kenangan jd kangen seseorang yg udh di panggil allah beberapa minggu kemarinjd nangis lg kan,netral,Glamping Lakeside
rinduuu,rinduuu,netral,Gunung Puntang
@tzkiaaa2 kpn’ yuk kesini😔🙏🏻,tzkiaaa kpn yuk kesini,netral,Ranca Upas
terakhir kesini sama mantan😂😂,terakhir kesini sama mantan,netral,Ranca Upas
Kesini yuu,kesini yuu,netral,Ranca Upas
@Bagus Sulistianto27,bagus sulistianto,positif,Ranca Upas
@dewscantik cantik kan,dewscantik cantik kan,netral,Glamping Lakeside
maau kesini sama ayang🥺,maau kesini sama ayang,netral,Kawah Putih
kesini wkt 2017😅,kesini wkt,netral,Situ Patenggang
Pengen kesini @sejetwe,pengen kesini sejetwe,netral,Gunung Puntang
@humanhaluuuy pengen kesini :),humanhaluuuy pengen kesini,netral,Situ Patenggang
"Gua malah mikir klo tetiba ntu jembatan ambles pas posisi gua lg ditengah2 gmn coba??. Terakhir ke kawah putih blm sebagus ini, pen main lg😭😭😭",gua malah mikir klo tetiba ntu jembatan ambles pas posisi gua lg ditengah gmn coba terakhir ke kawah putih blm sebagus ini pen main lg,positif,Kawah Putih
kapan kesini 🤗@roexs04,kapan kesini roexs,netral,Kawah Putih
@mrsm2927 mauu kesini,mrsm mauu kesini,netral,Gunung Puntang
Baru mau bilang kesini ah pas liat komen mahal mending ke yogya sekalian 😂,baru mau bilang kesini ah pas liat komen mahal mending ke yogya sekalian,negatif,Situ Patenggang
"gue waktu kesana kering , ga banyak airnya bgtu , skrng bagus banget dah🥺🥺",gue waktu kesana kering ga banyak airnya bgtu skrng bagus banget dah,positif,Glamping Lakeside
"dulu aku kesini tahun 2015 blm ada ky gini, skrng bagus",dulu aku kesini tahun blm ada ky gini skrng bagus,positif,Ranca Upas
@nurrynuy8 ke sini bagus nih,nurrynuy ke sini bagus nih,positif,Gunung Puntang
pgn kesini😭 @salsabilaapriana2,pgn kesini salsabilaapriana,netral,Ranca Upas
keren adekk... njaluk bos nang kene tahun depan😂 @Pisces27,keren adekk njaluk bos nang kene tahun depan pisces,positif,Situ Patenggang
@oedin68 pengen kesini😳,oedin pengen kesini,netral,Situ Patenggang
pengen kesini lagi:'),pengen kesini lagi,netral,Gunung Puntang
dulu kesana msh begitu aja aq blg bagus.. apalah skrg ya Allah.. tp tkt..😂 phobia bgt.. dengkul lgs lemez 😁,dulu kesana msh begitu aja aq blg bagus apalah skrg ya allah tp tkt phobia bgt dengkul lgs lemez,positif,Glamping Lakeside
@alfyhm101 ayang kesiniii,alfyhm ayang kesiniii,netral,Situ Patenggang
ah pgn kesitu lagiiii dulu belum bgini sekg udh bagus bgtt🥺,ah pgn kesitu lagiiii dulu belum bgini sekg udh bagus bgtt,positif,Gunung Puntang
@aprlyyyyy np g kesini yak,aprlyyyyy np g kesini yak,netral,Gunung Puntang
@Dani Adiarsa kesini yuu😁,dani adiarsa kesini yuu,netral,Situ Patenggang
keren ada jembatannya sekarang yah 😻,keren ada jembatannya sekarang yah,positif,Glamping Lakeside
"dlu waktu gua tur sekolah kaga ada jembatannya,sekarang udh bagus yah",dlu waktu gua tur sekolah kaga ada jembatannyasekarang udh bagus yah,positif,Ranca Upas
beneran bagus ga sih 😌😌😌 takut nyampe sono b aja,beneran bagus ga sih takut nyampe sono b aja,netral,Gunung Puntang
aku klo ksana suka ingin nyemplung..😂,aku klo ksana suka ingin nyemplung,positif,Gunung Puntang
kmren ke sana emang bagus,kmren ke sana emang bagus,positif,Situ Patenggang
indah bangettt 🥰,indah bangettt,positif,Kawah Putih
kesiniiii@indutt10,kesiniiiiindutt,netral,Gunung Puntang
@iqbalnr18 akhir tahun kesini yuuu🥺,iqbalnr akhir tahun kesini yuuu,netral,Gunung Puntang
keren ka,keren ka,positif,Gunung Puntang
yah pas kita kesini blm ada @erwanyunianto2,yah pas kita kesini blm ada erwanyunianto,netral,Ranca Upas
makin keren aja nih🥰,makin keren aja nih,positif,Ranca Upas
@arumdynt kesini kiyy🥺,arumdynt kesini kiyy,netral,Glamping Lakeside
pgn kesini sama ornag yg bnr2 sayang ma w🥺🥺,pgn kesini sama ornag yg bnr sayang ma w,netral,Gunung Puntang
sekarang sedang full ya kawahnya..dulu kesini kawahnya sedang sedikit..jadi ditengah2 kawah seperti ada pulau / endapan pasir pokoknya sangat indah,sekarang sedang full ya kawahnyadulu kesini kawahnya sedang sedikitjadi ditengah kawah seperti ada pulau endapan pasir pokoknya sangat indah,positif,Glamping Lakeside
"dlu mah gk sebagus ini,trakhir ksini 2013 yg lalu..knangan bngt",dlu mah gk sebagus initrakhir ksini yg laluknangan bngt,positif,Kawah Putih
"Selama 10thn jadi org ciwidey, tapi belum pernah kesini 😂😂",selama thn jadi org ciwidey tapi belum pernah kesini,netral,Glamping Lakeside
@shaᥫ᭡ @idk @vii jadi kesini ga,shaᥫ idk vii jadi kesini ga,netral,Situ Patenggang
Pengen kesini tp blum kesampean..,pengen kesini tp blum kesampean,netral,Ranca Upas
aing baru aja kemaren kesini😅,aing baru aja kemaren kesini,netral,Gunung Puntang
udah bagus bgttt ya skrg😳,udah bagus bgttt ya skrg,positif,Ranca Upas
bagus bngt si jadi nya,bagus bngt si jadi nya,positif,Ranca Upas
cis yang belum pernah kesini sama sekali,cis yang belum pernah kesini sama sekali,netral,Gunung Puntang
@ftr_nblla pengen kesini🥺,ftr_nblla pengen kesini,netral,Ranca Upas
kemarin awal tahun kesinii bener baguss sih tapi panasnyaa ituloo ditambah kabut baru hawa dingin kerasa😂,kemarin awal tahun kesinii bener baguss sih tapi panasnyaa ituloo ditambah kabut baru hawa dingin kerasa,positif,Glamping Lakeside
"bagus skrg mah😅 ada jmbatan nya.. dlu abis dri kwah pas naik k parkiran lngsung sesak nafas , pdhl cuma bntar",bagus skrg mah ada jmbatan nya dlu abis dri kwah pas naik k parkiran lngsung sesak nafas pdhl cuma bntar,positif,Kawah Putih
@sagitari.usgirl @ovltinmcchiato ajak gue kesini kalo gue main kesono,sagitariusgirl ovltinmcchiato ajak gue kesini kalo gue main kesono,netral,Glamping Lakeside
@tataeekok BAGUSSSS,tataeekok bagussss,positif,Kawah Putih
pengen bgt kesini yang @ferypriambodo_,pengen bgt kesini yang ferypriambodo_,netral,Kawah Putih
😊😊indahnya bandung,indahnya bandung,positif,Gunung Puntang
"kesana terakhir Thun 2012 , sekarang bagus bgt yaa Allah...",kesana terakhir thun sekarang bagus bgt yaa allah,positif,Ranca Upas
dlu blm ada jembatan skrg enak bsa smpe ketengah ya 🥰,dlu blm ada jembatan skrg enak bsa smpe ketengah ya,positif,Kawah Putih
@wnsly09 mau kesiniii,wnsly mau kesiniii,netral,Kawah Putih
@melmel skrng bagus bener,melmel skrng bagus bener,positif,Ranca Upas
@cawawie nangis bgt,cawawie nangis bgt,netral,Glamping Lakeside
cantik bgettt,cantik bgettt,netral,Glamping Lakeside
ih ko udh bagus sih @ikfanibaik,ih ko udh bagus sih ikfanibaik,positif,Ranca Upas
masyaallah cantik bgtt 🥰🥰,masyaallah cantik bgtt,netral,Situ Patenggang
bagus bngt,bagus bngt,positif,Situ Patenggang
rinduuuu naik kesinj,rinduuuu naik kesinj,netral,Ranca Upas
pgn kesini,pgn kesini,netral,Kawah Putih
indah banget sekarang bisa ke tengah mau kesana lagi😁,indah banget sekarang bisa ke tengah mau kesana lagi,positif,Glamping Lakeside
waktu itu mau naik jembatan ini nya tapi takut runtuh parnoan wk,waktu itu mau naik jembatan ini nya tapi takut runtuh parnoan wk,netral,Ranca Upas
@erikhaaaaaaaaaa kesini ae wkwkwk,erikhaaaaaaaaaa kesini ae wkwkwk,netral,Gunung Puntang
jadi inget tahun 2015 pernah kesini pas jaman2nya moveon dan hijrah😁,jadi inget tahun pernah kesini pas jamannya moveon dan hijrah,netral,Situ Patenggang
"dulu ke sini tahun 2011, skrng dah sebagus ini🥰",dulu ke sini tahun skrng dah sebagus ini,positif,Kawah Putih
November kmrn kesini.. Hujaann jd dingin banget,november kmrn kesini hujaann jd dingin banget,netral,Situ Patenggang
wow SDH ada pembaharuan 😎😎😎😎😎gila SDH lama bgt setelah pindah ke Jogja jd Rindu .....selalu ada rindu,wow sdh ada pembaharuan gila sdh lama bgt setelah pindah ke jogja jd rindu selalu ada rindu,positif,Kawah Putih
bismillah bisa liburan kesini,bismillah bisa liburan kesini,netral,Situ Patenggang
